Code,Authors,Title,Year,Journal,DOI,DocumentType,Decision,Reason,IntegrationType,SpatialScale,MethodType,InteractionDirection,ConnectivityFocus,Notes
P105,Sulistiyono N.; Zahirah A.,Assessing the Impact of Road Construction on the Sumatran Orangutan (Pongo abelii) Habitat in Pakpak Bharat District from 2003 to 2022,2024,International Journal of Design and Nature and Ecodynamics,10.18280/IJDNE.190213,Article,accepted,"This study assesses the impact of road construction on Sumatran Orangutan habitat fragmentation using landscape metrics, directly linking infrastructure development to habitat connectivity loss.",analytical,local,modeling,transport_to_ecosystem,yes,Evaluates landscape structure and habitat fragmentation caused by road construction for an umbrella species.
P106,Galea B.; Mobarak I.; Izzati N.A.; Fong M.Y.; Abdullah M.F.D.; Mohd Bukhari A.M.; Lim C.K.; Ruppert N.,"Recommendations for the establishment of a trans-island canopy bridge network to support primate movement across Langkawi Island, Malaysia",2024,ORYX,10.1017/S0030605323001333,Article,accepted,The paper recommends establishing a network of canopy bridges over roads to support primate movement and mitigate habitat fragmentation caused by transportation corridors.,conceptual,regional,conceptual,transport_to_ecosystem,yes,Proposes a network of canopy bridges to enhance connectivity for arboreal animals affected by linear infrastructure.
P107,Schauman S.A.; Jobbágy E.G.; Peñuelas J.; Laurance W.F.; Baldi G.,Roads imperil South American protected areas,2025,Perspectives in Ecology and Conservation,10.1016/j.pecon.2025.08.005,Article,accepted,"This study assesses the extent of road networks within South American protected areas and their impact on fragmenting these areas, directly linking roads to habitat fragmentation and loss of ecological integrity.",analytical,supraregional,modeling,transport_to_ecosystem,yes,Analyzes the spatial distribution of roads within protected areas and their fragmentation effects.
P108,Rodas-Trejo J.; Gómez-Tolosa M.; Naranjo E.J.; López S.,Assessing the effects of landscape attributes in medium and large terrestrial mammal richness inside a tropical rainforest biosphere reserve,2025,Environmental Monitoring and Assessment,10.1007/s10661-025-13865-2,Article,accepted,"The study investigates landscape attributes, including distance to main roads, influencing mammal distribution and presence in a rainforest reserve, highlighting the importance of habitat connectivity and proximity to roads.",analytical,regional,empirical,transport_to_ecosystem,yes,Assesses how distance to roads affects terrestrial mammal distribution and emphasizes habitat connectivity.
P109,Meraz-Molina K.; Luevano-Gurrola S.D.; Pinedo-Alvarez A.; Villarreal-Guerrero F.; Hernández-Quiroz N.S.; Ibarra-Bonilla J.S.; Fontes-Palma I.; Vega-Mares J.H.; Prieto-Amparán J.A.,"Ecological Corridors for Tadaria brasiliensis in Agricultural Landscapes of Northern Mexico Integrating AHP, InVEST, and Least-Cost Path",2026,Land,10.3390/land15010039,Article,accepted,"This paper develops ecological corridors for a flying mammal in agricultural landscapes by integrating various geospatial data, including distance to roads, to assess landscape resistance and functional connectivity.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,Integrates distance to roads into a model to identify ecological corridors and assess landscape resistance for flying mammals.
P110,Shapiro A.; d'Annunzio R.; Desclée B.; Jungers Q.; Kondjo H.K.; Iyanga J.M.; Gangyo F.I.; Nana T.; Obame C.V.; Milandou C.; Rambaud P.; Sonwa D.J.; Mertens B.; Tchana E.; Khasa D.; Bourgoin C.; Ouissika C.B.; Kipute D.D.,Small scale agriculture continues to drive deforestation and degradation in fragmented forests in the Congo Basin (2015–2020),2023,Land Use Policy,10.1016/j.landusepol.2023.106922,Article,accepted,"The study identifies drivers of deforestation and degradation in the Congo Basin, including roads as part of the rural complex, linking infrastructure development to forest fragmentation and biodiversity loss.",analytical,supraregional,modeling,transport_to_ecosystem,partial,"Identifies roads as a component of the rural complex driving deforestation and degradation, impacting forest connectivity."
P111,Concostrina-Zubiri L.; Prieto M.; Hurtado P.; Escudero A.; Martínez I.,Functional diversity regulates the effects of habitat degradation on biocrust phylogenetic and taxonomic diversities,2022,Ecological Applications,10.1002/eap.2599,Article,accepted,"The paper investigates the impact of habitat degradation, specifically mentioning linear infrastructure (a road), on biocrust diversity. It uses structural equation modeling to analyze these relationships, focusing on how degradation affects functional diversity, which in turn impacts taxonomic and phylogenetic diversity. This directly links road infrastructure to ecological connectivity and biodiversity.",analytical,regional,modeling,transport_to_ecosystem,yes,Focuses on biocrusts and their diversity in relation to road presence.
P112,Fernandes K.; Bateman P.W.; Saunders B.J.; Bunce M.; Bohmann K.; Nevill P.,Use of carrion fly iDNA metabarcoding to monitor invasive and native mammals,2023,Conservation Biology,10.1111/cobi.14098,Article,accepted,"This paper uses carrion fly iDNA metabarcoding to monitor mammal populations in a fragmented landscape (wheat belt of Australia) and assesses the impact of habitat fragmentation due to agriculture. It mentions road edges as sampling locations and discusses how habitat fragmentation affects native and invasive mammal populations, including their distribution and potential for conservation and invasive species management. While not directly modeling the road's impact, it uses road edges as a proxy for fragmented landscapes and assesses connectivity issues.",analytical,regional,empirical,transport_to_ecosystem,yes,Uses road edges as sampling points in a fragmented agricultural landscape to monitor mammal populations.
P113,Zhu Y.-L.; Xu M.-L.; Zhang L.-X.; Li P.; Jin B.; Zuo A.-R.; Jiang X.-L.; Guan Z.-H.,"Prediction of the potential dispersal corridors for Gaoligong hoolock gibbon in northern Yingjiang, Yunnan, China",2025,Journal for Nature Conservation,10.1016/j.jnc.2024.126771,Article,accepted,"The study explicitly models potential dispersal corridors for Gaoligong hoolock gibbons, which are affected by habitat loss and fragmentation. It uses least-cost path modeling, Linkage Mapper Toolbox, MaxEnt, and circuit theory to identify corridors, pinch points, and barriers. Crucially, it identifies existing roads as barriers hindering gibbon dispersal and emphasizes the need for corridor construction in these areas.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,Identifies roads as barriers to gibbon dispersal and models corridors to mitigate this.
P114,Ceia-Hasse A.; Thomson M.A.; Noguera-Urbano E.A.; Carrillo-Restrepo J.C.; Cruz-Rodríguez C.A.; Correa-Ayram C.A.; Ochoa-Quintero J.M.; Rosa I.M.D.,"Primate extinction, the legacy of 40 years' road expansion in Colombia",2024,Animal Conservation,10.1111/acv.12901,Article,accepted,"This paper assesses the impact of road expansion on primate populations in Colombia over 40 years. It uses a spatially explicit approach to estimate critical road density and patch size for species survival, linking road expansion directly to habitat fragmentation and increased vulnerability to local extinction for primate species. It quantifies the scope of road expansion within habitats and its fragmentation effects.",analytical,supraregional,modeling,transport_to_ecosystem,yes,Assesses the long-term impact of road expansion on primate populations and their habitat fragmentation.
P115,Markle T.M.; Smith C.E.; Stapleton S.P.,Turtles and turnarounds: Small animal exclusion fencing effectively reduces turtle road mortality,2026,Biological Conservation,10.1016/j.biocon.2025.111605,Article,accepted,"The study evaluates the effectiveness of small animal exclusion fencing to reduce turtle road mortality and habitat fragmentation. It uses a Before-After-Control-Impact (BACI) design to measure the reduction in mortality after fence installation, directly linking road infrastructure to mortality and using mitigation measures (fencing) to improve connectivity and reduce fragmentation effects for turtles.",analytical,local,empirical,transport_to_ecosystem,yes,"Focuses on reducing turtle mortality on roads through exclusion fencing, addressing fragmentation."
P116,Biswas S.P.; Singh A.S.,Ecosystem Services of Riverine Wetlands with Special Reference to the Upper Brahmaputra Basin,2022,Indian Journal of Agricultural Economics,,Article,rejected,"While the paper mentions the construction of roads as a factor contributing to the reduction of wetland bio-resources and habitat complexity, it is a review paper focusing on ecosystem services of riverine wetlands and does not present any modeling or analysis linking road infrastructure to connectivity or fragmentation in a quantifiable way. The mention of roads is incidental to the broader discussion of wetland degradation.",unclear,regional,review,unclear,no,Roads are mentioned as a cause of habitat degradation but not the primary focus or analyzed in terms of connectivity.
P117,Frère C.H.; O'Reilly G.D.; Strickland K.; Schultz A.; Hohwieler K.; Hanger J.; de Villiers D.; Cristescu R.; Powell D.; Sherwin W.,Evaluating the genetic consequences of population subdivision as it unfolds and how to best mitigate them: A rare story about koalas,2023,Molecular Ecology,10.1111/mec.16877,Article,accepted,This paper directly investigates the genetic consequences of population subdivision caused by the construction of linear transport infrastructure (roads) on koalas. It uses genetic data and forward simulations to assess the loss of genetic diversity and evaluate the effectiveness of mitigation measures like fauna crossings in maintaining genetic connectivity.,strong_coupling,regional,modeling,transport_to_ecosystem,yes,Analyzes genetic consequences of road construction-induced population subdivision and evaluates mitigation measures for connectivity.
P118,Wang D.; Zhang L.; Zhong Q.; Zhang G.; Chen X.; Zhang Q.,Analysis of Spatial Divergence in Bird Diversity Driven by Built Environment Characteristics of Ecological Corridors in High-Density Urban Areas,2024,Land,10.3390/land13091359,Article,accepted,"The study analyzes the impact of built environment characteristics of urban ecological corridors on bird diversity. It quantifies the effects of factors like the degree of surrounding urbanization and slow-traffic connectivity, which are directly related to transport infrastructure, on bird diversity and spatial differentiation within these corridors. It aims to provide a scientific reference for constructing urban ecological networks.",analytical,local,modeling,transport_to_ecosystem,yes,"Examines how built environment characteristics, including traffic-related aspects, affect bird diversity in urban ecological corridors."
P119,Knoth B.A.; Hargrove J.S.; Dobos M.; Copeland T.; Bowersox B.J.,Rapid Colonization of Upstream Habitats by Oncorhynchus Mykiss Following Culvert Modification,2022,North American Journal of Fisheries Management,10.1002/nafm.10809,Article,accepted,"This paper investigates the impact of culvert modification (a type of road crossing infrastructure) on fish populations. It uses genetic samples to assess changes in genetic composition, diversity, and population size following the removal of a barrier that previously isolated populations. The study demonstrates how modifying road infrastructure can reestablish connectivity and gene flow.",analytical,local,empirical,transport_to_ecosystem,yes,Focuses on how modifying road culverts (barriers) impacts fish connectivity and genetic diversity.
P120,Arranz I.; Batllori E.; Linares C.; Ripple W.J.; Bonada N.,Integrative research of Mediterranean climate regions: A global call to action,2024,Environmental Conservation,10.1017/S0376892924000067,Article,rejected,"This paper is a call for integrative research in Mediterranean climate regions, discussing general threats like habitat fragmentation, overfishing, and climate change. While habitat fragmentation is mentioned, it is discussed broadly and not specifically linked to road networks or transport infrastructure in a way that would allow for classification of modeling approaches or interaction types. The focus is on a broad, interdisciplinary research agenda.",unclear,supraregional,conceptual,unclear,partial,"Discusses habitat fragmentation generally, but not specifically in relation to road infrastructure or connectivity modeling."
P121,Muntean O.-L.; Arghiuș V.; Măcicășan V.; Maloș C.; Roșian G.,USING RIAM AND GIS FOR ENVIRONMENTAL IMPACT ASSESSMENT (A CASE STUDY ON A NATURAL PROTECTED AREA IN ROMANIA),2022,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",10.5593/sgem2022/5.1/s20.021,Conference paper,accepted,"The paper uses RIAM and GIS to assess environmental impacts on a protected area, explicitly mentioning transport infrastructure as a pressure on biodiversity. It models impacts and maps them, linking infrastructure to biodiversity.",analytical,regional,modeling,transport_to_ecosystem,partial,"Focuses on general environmental impact assessment, but includes transport infrastructure as a pressure on biodiversity within a protected area."
P122,Navas González Á.; Hewitt R.J.; Martínez-Vega J.,Green Infrastructure Mapping in Almeria Province (Spain) Using Geographical Information Systems and Multi-Criteria Evaluation,2024,Land,10.3390/land13111916,Article,accepted,The paper explicitly models the impact of road infrastructure growth on habitat fragmentation and proposes green infrastructure to maintain connectivity. It uses GIS and MCE to identify suitable areas and ecological corridors.,analytical,regional,modeling,transport_to_ecosystem,yes,Directly addresses road infrastructure growth as a driver of fragmentation and proposes solutions for connectivity.
P123,Carvalho-Roel C.F.; Azevedo F.C.D.; Freitas-Junior M.C.D.; Candeias I.Z.D.; Marçal Junior O.; Lemos F.G.,How risky is to live among us? Assessing the population viability of two South American wild canids in an agroecosystem,2024,Biological Conservation,10.1016/j.biocon.2024.110805,Article,accepted,"The paper assesses population viability of wild canids and includes roadkill as a significant mortality cause, directly linking transport infrastructure to biodiversity impact and risk.",analytical,regional,empirical,transport_to_ecosystem,partial,Focuses on population viability but explicitly includes roadkill as a threat to connectivity and survival.
P124,Ditmer M.A.; Carter N.H.; Hersey K.R.; Leclerc M.; Wittemyer G.; Stoner D.C.,Navigating the wildland-urban interface: Sensory pollution and infrastructure effects on mule deer behavior and connectivity,2023,Basic and Applied Ecology,10.1016/j.baae.2023.10.002,Article,accepted,"This paper models mule deer behavior and connectivity in relation to urban interface, including road density and artificial light from infrastructure, assessing how these affect movement and corridor use.",strong_coupling,regional,modeling,transport_to_ecosystem,yes,Uses a movescape approach and graph theory to model functional connectivity influenced by infrastructure and sensory pollution.
P125,Zhao Y.; Huang Y.; Liu Z.; Zhou Y.,The architecture of functional brain network modulated by driving under train running noise exposure,2024,PLoS ONE,10.1371/journal.pone.0306729,Article,rejected,"This paper studies the effect of train noise on brain connectivity in drivers, focusing on human cognitive responses to transport noise, not on ecological connectivity or biodiversity.",unclear,unclear,empirical,unclear,no,"Focuses on human cognitive effects of noise, not ecological connectivity."
P126,Duan H.; Yu X.; Zhang L.; Xia S.; Liu Y.; Mao D.; Zhang G.,An evaluating system for wetland ecological risk: Case study in coastal mainland China,2022,Science of the Total Environment,10.1016/j.scitotenv.2022.154535,Article,accepted,"The paper assesses wetland ecological risk and identifies road disturbance as a significant factor associated with increased risk and degradation, impacting habitat and biodiversity.",analytical,regional,modeling,transport_to_ecosystem,partial,"Includes road disturbance as a factor in wetland ecological risk assessment, indirectly affecting connectivity."
P127,Sordello R.; Ouédraogo D.-Y.; Chassoulier C.; Aulagnier S.; Coulon A.; Reyjol Y.,Does artificial light interfere with the activity of nocturnal mammals? An experimental study using road underpasses,2025,Biological Conservation,10.1016/j.biocon.2024.110960,Article,accepted,"This experimental study investigates the impact of artificial light from a motorway on mammal movement through underpasses, demonstrating how infrastructure-related light pollution acts as a barrier to connectivity.",analytical,regional,empirical,transport_to_ecosystem,yes,Directly tests the effect of motorway lighting on wildlife movement and connectivity through underpasses.
P128,De Feudis C.; Torretta E.; Orioli V.; Tirozzi P.; Bani L.; Meriggi A.; Dondina O.,Dispersal and settlement dynamics of wolves in a lowland ecological corridor in northern Italy: Effects of resource availability and human disturbance,2025,Biological Conservation,10.1016/j.biocon.2024.110936,Article,accepted,"The study investigates wolf dispersal and settlement in an ecological corridor, identifying human disturbance, including traffic roads, as a primary limitation to pack establishment and connectivity.",analytical,regional,empirical,transport_to_ecosystem,yes,Highlights traffic roads as a disturbance limiting wolf pack establishment and thus ecological connectivity.
P129,Pérez-Crespo L.; Kusters M.S.W.; López-Vicente M.; Lubczyńska M.J.; Foraster M.; White T.; Hoek G.; Tiemeier H.; Muetzel R.L.; Guxens M.,"Exposure to traffic-related air pollution and noise during pregnancy and childhood, and functional brain connectivity in preadolescents",2022,Environment International,10.1016/j.envint.2022.107275,Article,rejected,"This paper examines the association between traffic-related air pollution and noise exposure during pregnancy and childhood and functional brain connectivity in preadolescents. It focuses on human neurological development, not ecological connectivity.",unclear,unclear,empirical,unclear,no,"Focuses on human neurological effects of pollution, not ecological connectivity."
P130,Falconi-Briones F.A.; Bolom-Huet R.; Naranjo E.J.; Reyna-Hurtado R.; Enríquez-Rocha P.L.; Moreira-Ramírez J.F.; García M.J.; Medellín R.A.,Connectivity at risk: a critical scenario for the endangered Baird’s tapir and the vulnerable white-lipped peccary in the Maya Forest,2025,Biodiversity and Conservation,10.1007/s10531-024-02968-w,Article,accepted,"This paper uses circuit theory and species distribution modeling to assess connectivity for endangered species, explicitly identifying major roads as primary barriers to movement and proposing conservation of corridors.",strong_coupling,supraregional,modeling,transport_to_ecosystem,yes,Combines modeling approaches to identify roads as major barriers to species connectivity and proposes corridor conservation.
P131,Collins A.C.; Vickers T.W.; Shilling F.M.,Behavioral responses to anthropogenic noise at highways vary across temporal scales,2022,Frontiers in Ecology and Evolution,10.3389/fevo.2022.891595,Article,accepted,"The paper investigates the behavioral responses of wildlife (mule deer and coyotes) to anthropogenic noise from highways, specifically focusing on how this noise affects their passage across wildlife crossing structures. This directly links road infrastructure (highways and crossing structures) with wildlife movement and behavior, which is a component of connectivity.",analytical,local,empirical,transport_to_ecosystem,partial,"Focuses on behavioral responses to noise from roads impacting passage across crossing structures, which relates to connectivity."
P132,Phillips B.B.; Crowley S.L.; Bell O.; McDonald R.A.,"Harnessing practitioner knowledge to inform the conservation of a protected species, the hazel dormouse Muscardinus avellanarius",2022,Ecological Solutions and Evidence,10.1002/2688-8319.12198,Article,accepted,"The paper discusses practitioner knowledge on hazel dormouse conservation, mentioning that practitioners emphasize the need for landscape-scale approaches and improving habitat connectivity. It also notes that dormice are found in various habitats including road verges and that there are uncertainties regarding the impacts of anthropogenic disturbance and pollution, which can be related to road infrastructure.",conceptual,regional,mixed,unclear,yes,"Mentions road verges as habitat and the need for landscape-scale approaches and habitat connectivity, but the primary focus is on practitioner knowledge for conservation."
P133,Ma Y.; Zheng X.; Liu M.; Liu D.; Ai G.; Chen X.,"Spatio-temporal evolution characteristics analysis and optimization prediction of urban green infrastructure: a case study of Beijing, China",2022,Scientific Reports,10.1038/s41598-022-14613-z,Article,accepted,The paper analyzes and predicts the spatio-temporal evolution of urban green infrastructure and proposes optimization schemes for the ecological network. It explicitly states that 'the optimization of zoning and road network are effective measures to improve the connectivity of UGI in Beijing'.,analytical,regional,modeling,transport_to_ecosystem,yes,Directly links road network optimization to improving UGI connectivity.
P134,Schoen J.M.; Neelakantan A.; Cushman S.A.; Dutta T.; Habib B.; Jhala Y.V.; Mondal I.; Ramakrishnan U.; Reddy P.A.; Saini S.; Sharma S.; Thatte P.; Yumnam B.; DeFries R.,Synthesizing habitat connectivity analyses of a globally important human-dominated tiger-conservation landscape,2022,Conservation Biology,10.1111/cobi.13909,Article,accepted,"This paper synthesizes habitat connectivity analyses for tigers in a human-dominated landscape. It quantifies agreement on landscape permeability and identifies consensus connectivity areas (CCAs). Crucially, it notes that a significant portion of CCAs fall within 1 km of linear infrastructure, including roads, and highlights competition for land with infrastructure development in these critical corridor areas.",analytical,regional,modeling,transport_to_ecosystem,yes,Synthesizes connectivity analyses and identifies overlap with linear infrastructure (roads) in critical tiger conservation areas.
P135,Sydor-Estable C.; Turgeon K.; Maheu A.,Tragedy of the culverts? Characterizing the state of road infrastructure in public and private forests,2025,Journal of Environmental Management,10.1016/j.jenvman.2024.123814,Article,accepted,"The paper investigates the condition of culverts along forest roads and their impact on aquatic habitat connectivity. It identifies that a significant proportion of culverts are in poor condition and pose a threat to aquatic connectivity, with land tenure and road condition being drivers of this poor condition.",analytical,local,empirical,transport_to_ecosystem,yes,Focuses on the impact of road infrastructure (culverts) on aquatic habitat connectivity.
P136,Zhuo Y.; Xu W.; Wang M.; Chen C.; da Silva A.A.; Yang W.; Ruckstuhl K.E.; Alves J.,The effect of mining and road development on habitat fragmentation and connectivity of khulan (Equus hemionus) in Northwestern China,2022,Biological Conservation,10.1016/j.biocon.2022.109770,Article,accepted,"This study assesses the impact of mining and road development on habitat fragmentation and connectivity for khulan. It analyzes habitat suitability and ecological corridors before, during, and after mining and road construction, showing how these developments have interfered with or blocked movement and access to parts of the reserve.",analytical,regional,modeling,transport_to_ecosystem,yes,Directly models the impact of road construction on habitat connectivity for khulan.
P137,Stevenson S.; Finnegan L.; Johnson C.; Mckay T.,Differential responses of woodland caribou to fire and forestry across boreal and montane ecosystems - a literature review,2025,Forestry,10.1093/forestry/cpae053,Review,accepted,"This literature review compares the responses of woodland caribou to fire and forestry. It notes that forest harvesting, which involves extensive resource roads, has greater negative effects on caribou populations and habitat compared to wildfire, partly due to the presence of these roads.",conceptual,regional,review,transport_to_ecosystem,yes,"Discusses the negative impacts of forestry operations, including resource roads, on woodland caribou habitat and populations, affecting connectivity."
P138,Riginos C.; Fairbank E.; Hansen E.; Kolek J.; Huijser M.P.,Reduced speed limit is ineffective for mitigating the effects of roads on ungulates,2022,Conservation Science and Practice,10.1111/csp2.618,Article,accepted,The paper experimentally tests the effectiveness of reduced speed limits on highways to mitigate wildlife-vehicle collisions and improve habitat connectivity for ungulates. It concludes that reduced speed limits are largely ineffective for improving permeability due to poor compliance.,analytical,local,empirical,transport_to_ecosystem,yes,Evaluates the impact of road management (speed limits) on wildlife movement and connectivity.
P139,Baishya J.B.; Choudhury P.; Ahmed R.; Talukdar N.R.,"Assessment of Asiatic elephant habitats using satellite data: a study in Swang Reserve Forest of Assam, India",2026,Tropical Ecology,10.1007/s42965-025-00415-7,Article,accepted,"The paper assesses Asiatic elephant habitats and highlights that human-elephant conflict is exacerbated by habitat fragmentation due to infrastructure development, including roads. It calls for minimizing anthropogenic disturbances within critical corridors and buffer zones.",analytical,regional,modeling,transport_to_ecosystem,yes,"Links infrastructure development and roads to habitat fragmentation and conflict, impacting elephant corridors."
P140,Owa S.; Chana S.; Toha Y.H.; Chana S.H.; Lakshminarayanana J.; Jabbarb S.; Angb A.; Loo A.,Bridging the gap: Assessing the effectiveness of rope bridges for wildlife in Singapore,2022,Folia Primatologica,10.1163/14219980-20211110,Article,accepted,"This study assesses the effectiveness of rope bridges installed across a road to restore habitat connectivity for arboreal species. It demonstrates that these bridges are utilized by various species, including primates, to travel between forest patches separated by the road.",analytical,local,empirical,transport_to_ecosystem,yes,Evaluates artificial infrastructure (rope bridges) to mitigate the barrier effect of roads and restore connectivity.
P141,Xie Y.; Liu S.; Pang B.; Wang N.; Xu J.; Huang H.; Cui Y.; Yang J.; Liu Y.; Liu Y.,Dual pathways of forest landscape dynamics in China: Integrating ecological land evolution Index (ELEI) and machine learning to decipher fragmentation and restoration,2025,International Journal of Applied Earth Observation and Geoinformation,10.1016/j.jag.2025.104724,Article,accepted,"The paper models forest landscape dynamics, including fragmentation and connectivity, and explicitly analyzes the impact of road density on fragmentation. It integrates ecological and anthropogenic drivers.",analytical,supraregional,modeling,transport_to_ecosystem,yes,Road density is used as a driver of fragmentation.
P142,van den Bosch M.; Kellner K.F.; Gantchoff M.G.; Patterson B.R.; Barber-Meyer S.M.; Beyer D.E.; Erb J.D.; Isaac E.J.; MacFarland D.M.; Moore S.A.; Norton D.C.; Petroelje T.R.; Price Tack J.L.; Roell B.J.; Schrage M.; Belant J.L.,Habitat selection of resident and non-resident gray wolves: implications for habitat connectivity,2023,Scientific Reports,10.1038/s41598-023-47815-0,Article,accepted,"The study assesses habitat selection by wolves in relation to road densities and models circuit connectivity, directly linking road infrastructure to habitat connectivity.",analytical,regional,modeling,transport_to_ecosystem,yes,"Wolves selected against areas with high road densities, and connectivity was modeled."
P143,Domokos C.; Collet S.; Nowak C.; Jánoska F.; Cristescu B.,Brown bear occurrence along a proposed highway route in Romania's Carpathian Mountains,2024,Nature Conservation,10.3897/natureconservation.57.107283,Conference paper,accepted,"The paper investigates brown bear occurrence and genetic connectivity across a planned highway route, assessing the potential barrier effect of linear infrastructure.",analytical,regional,empirical,transport_to_ecosystem,yes,Assesses genetic connectivity across a proposed highway.
P144,Ascensão F.; D'Amico M.; Revilla E.; Pereira H.M.,"Road encroachment mediates species occupancy, trait filtering and dissimilarity of passerine communities",2022,Biological Conservation,10.1016/j.biocon.2022.109590,Article,accepted,"This study models the effect of road density on species occurrence and community composition, directly linking road infrastructure to biodiversity changes and community dissimilarity.",analytical,regional,modeling,transport_to_ecosystem,partial,Road density is used to model species occurrence and community composition.
P145,Handel M.; Spiegel O.; Shwartz A.,Field margins as ecological corridors: Uncovering connectivity in agricultural landscapes using high-resolution tracking data and translocation experiments,2025,Journal of Applied Ecology,10.1111/1365-2664.70120,Article,accepted,"The study uses high-resolution tracking data and translocation experiments to assess how different habitats, including those intersected by a road, facilitate or impede species movement and connectivity.",analytical,local,empirical,transport_to_ecosystem,yes,Examines movement across an arable field intersected by a main paved road.
P146,Soanes K.; Rytwinski T.; Fahrig L.; Huijser M.P.; Jaeger J.A.G.; Teixeira F.Z.; van der Ree R.; van der Grift E.A.,Do wildlife crossing structures mitigate the barrier effect of roads on animal movement? A global assessment,2024,Journal of Applied Ecology,10.1111/1365-2664.14582,Review,accepted,"This is a review paper assessing the effectiveness of wildlife crossing structures in mitigating the barrier effect of roads on animal movement, directly addressing the interaction between roads and connectivity.",analytical,multiple,review,transport_to_ecosystem,yes,Focuses on wildlife crossing structures as mitigation for road barriers.
P147,Opatz A.P.; Fulbright T.E.; Mizer G.; DeYoung R.W.; Conway W.C.; Gray S.S.; Hewitt D.G.,Influence of cropland on resource selection by pronghorn,2023,Journal of Wildlife Management,10.1002/jwmg.22372,Article,accepted,"The paper investigates pronghorn resource selection in relation to cropland and paved roads, assessing avoidance and selection patterns at different scales, which relates to habitat fragmentation and connectivity.",analytical,regional,empirical,transport_to_ecosystem,partial,Pronghorn avoided paved roads more strongly than cropland.
P148,Gnanaolivu S.D.; Erinjery J.J.; Campera M.; Singh M.,"Distribution and Habitat Suitability of the Malabar Slender Loris (Loris lydekkerianus malabaricus) in the Aralam Wildlife Sanctuary, India",2025,Land,10.3390/land14040872,Article,accepted,"The study identifies distance from roads as a key determinant of Malabar slender loris distribution, linking road infrastructure to habitat suitability and fragmentation.",analytical,regional,modeling,transport_to_ecosystem,yes,Distance from roads is a significant predictor of species distribution.
P149,Devenish-Nelson E.S.; Bobb-Prescott N.; Eckelmann C.-M.; Persaud D.; Nelson H.P.,Can protected areas safeguard forests on small islands? Evidence from Trinidad,2026,Journal of Environmental Management,10.1016/j.jenvman.2026.129161,Article,accepted,"The paper examines forest loss and fragmentation within protected areas, identifying proximity to roads as a significant correlate of forest loss, thus linking infrastructure to habitat fragmentation.",analytical,local,empirical,transport_to_ecosystem,yes,Proximity to roads is correlated with forest loss and fragmentation.
P150,Liang C.; Li J.; Li S.; Zhang H.; Zheng J.; Miao J.; Hao S.; Wu S.; Liu Z.; Zhai J.,Human Activity Changed the Genetic Pattern of the Orchid Phaius flavus Population,2024,Diversity,10.3390/d16110685,Article,accepted,"This study investigates the impact of road construction on the genetic pattern of an orchid population, demonstrating how infrastructure can lead to habitat fragmentation and genetic isolation.",analytical,local,empirical,transport_to_ecosystem,yes,"Road construction divided a population into two patches, leading to genetic differentiation."
P151,Tyagi A.; Khan A.; Thatte P.; Ramakrishnan U.,Genome-wide single nucleotide polymorphism (SNP) markers from fecal samples reveal anthropogenic impacts on connectivity: case of a small carnivore in the central Indian landscape,2022,Animal Conservation,10.1111/acv.12770,Article,accepted,"The paper uses landscape genetics to assess the impact of roads and human-dominated land-use on jungle cat movement and connectivity. It explicitly models the relationship between genetic connectivity and landscape features, including roads.",analytical,regional,modeling,transport_to_ecosystem,yes,Uses genetic data to infer connectivity and relates it to landscape features like roads.
P152,Sperry B.R.; Popescu V.; Wyza E.; Porter S.; Wiley R.; Cottrill D.; McAvoy D.S.,"Assessment of Deer-Vehicle Crash Mitigation Structures on the US 33 Nelsonville, Ohio, Bypass",2023,Journal of Transportation Engineering Part A: Systems,10.1061/JTEPBS.TEENG-7156,Article,accepted,"This paper assesses the effectiveness of wildlife mitigation structures (underpasses, fencing) on a new highway to reduce deer-vehicle collisions and promote habitat connectivity. It evaluates the impact of infrastructure on wildlife movement and safety.",analytical,local,empirical,transport_to_ecosystem,yes,Focuses on the effectiveness of mitigation structures for wildlife crossing and reducing collisions.
P153,Mayer M.; Fischer C.; Blaum N.; Sunde P.; Ullmann W.,Influence of roads on space use by European hares in different landscapes,2023,Landscape Ecology,10.1007/s10980-022-01552-3,Article,accepted,"The study investigates how roads (density, type) and landscape composition influence space use, habitat selection, and road crossings by European hares. It analyzes the interaction between road infrastructure and animal behavior in different landscapes.",analytical,regional,modeling,bidirectional,partial,"Examines how roads affect animal space use and selection, and how animals interact with roads."
P154,Mishra T.K.; Gupta B.; Panda P.K.,"Issues of Biodiversity Conservation and Conflict in Gorumara National Park, West Bengal, India",2022,"Conservation, Management and Monitoring of Forest Resources in India",10.1007/978-3-030-98233-1_18,Book chapter,accepted,"This paper qualitatively and quantitatively estimates the ecological impacts of road expansion on forest buffer zones, including habitat fragmentation, wildlife deaths on highways, and potential for corridor reconstruction. It highlights the negative impacts of development on connectivity.",analytical,local,empirical,transport_to_ecosystem,yes,Assesses the negative impacts of road expansion on habitat fragmentation and wildlife connectivity.
